A,Positive,Animals_175_h
A,Positive,Faces_240_h
A,Positive,Faces_359_h
A,Positive,Faces_347_h
A,Positive,Faces_352_h
A,Positive,Objects_081_h
A,Positive,Objects_078_h
A,Positive,Objects_104_v
A,Positive,Objects_291_h
A,Positive,People_160_h
A,Positive,People_171_v
A,Positive,People_178_h
A,Positive,People_187_h
A,Positive,People_189_h
A,Neutral,Animals_088_h
A,Neutral,Animals_105_h
A,Neutral,Animals_218_h
A,Neutral,Faces_167_v
A,Neutral,Faces_200_h
A,Neutral,Faces_315_h
A,Neutral,Objects_112_h
A,Neutral,Objects_178_v
A,Neutral,Objects_237_h
A,Neutral,People_105_h
A,Neutral,People_149_h
A,Neutral,Landscapes_024_v
A,Neutral,Landscapes_044_h
A,Neutral,Landscapes_056_h
A,Negative,People_083_h
A,Negative,Animals_064_v
A,Negative,Animals_017_v
A,Negative,Faces_296_h
A,Negative,Faces_011_h
A,Negative,Objects_145_h
A,Negative,Faces_175_v
A,Negative,Objects_157_h
A,Negative,Objects_188_v
A,Negative,People_085_h
A,Negative,People_142_h
A,Negative,People_121_h
A,Negative,Landscapes_014_h
A,Negative,Objects_158_h
B,Positive,Animals_106_h
B,Positive,Animals_179_h
B,Positive,Faces_236_h
B,Positive,Faces_134_h
B,Positive,Faces_234_h
B,Positive,Faces_342_h
B,Positive,Faces_361_v
B,Positive,Faces_261_v
B,Positive,Objects_069_h
B,Positive,Objects_080_h
B,Positive,Objects_300_h
B,Positive,People_175_h
B,Positive,People_180_h
B,Positive,People_183_h
B,Neutral,Animals_082_h
B,Neutral,Animals_199_h
B,Neutral,Animals_209_h
B,Neutral,Faces_048_h
B,Neutral,Faces_183_v
B,Neutral,Faces_195_v
B,Neutral,Objects_276_h
B,Neutral,Objects_278_h
B,Neutral,Objects_313_h
B,Neutral,People_047_h
B,Neutral,People_159_h
B,Neutral,Landscapes_067_h
B,Neutral,Landscapes_077_v
B,Neutral,Landscapes_091_h
B,Negative,Landscapes_001_h
B,Negative,Animals_067_h
B,Negative,Animals_053_h
B,Negative,Faces_303_h
B,Negative,Landscapes_028_h
B,Negative,Landscapes_068_h
B,Negative,Landscapes_017_h
B,Negative,People_094_h
B,Negative,Objects_144_h
B,Negative,Landscapes_011_h
B,Negative,People_118_h
B,Negative,People_197_h
B,Negative,People_012_h
B,Negative,Landscapes_006_h
C,Positive,Animals_165_h
C,Positive,Animals_178_v
C,Positive,Faces_132_h
C,Positive,Faces_313_h
C,Positive,Faces_321_h
C,Positive,Faces_348_h
C,Positive,Faces_322_v
C,Positive,Objects_037_h
C,Positive,Faces_356_h
C,Positive,Objects_171_h
C,Positive,People_096_h
C,Positive,People_130_h
C,Positive,People_193_h
C,Positive,People_196_h
C,Neutral,Animals_093_h
C,Neutral,Animals_124_v
C,Neutral,Animals_133_h
C,Neutral,Faces_224_h
C,Neutral,Faces_187_v
C,Neutral,Faces_196_h
C,Neutral,Objects_161_v
C,Neutral,Objects_227_v
C,Neutral,Objects_249_v
C,Neutral,People_138_h
C,Neutral,People_163_v
C,Neutral,Landscapes_061_h
C,Neutral,Landscapes_076_h
C,Neutral,Landscapes_079_v
C,Negative,People_119_h
C,Negative,Objects_039_h
C,Negative,Animals_057_h
C,Negative,Objects_141_h
C,Negative,Faces_288_h
C,Negative,Objects_116_v
C,Negative,Objects_110_v
C,Negative,Objects_011_h
C,Negative,Objects_111_h
C,Negative,People_145_h
C,Negative,Faces_035_h
C,Negative,People_082_h
C,Negative,Landscapes_004_h
C,Negative,Landscapes_010_h